ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,LM2596S-5,U1,Package_TO_SOT_SMD:TO-263-5_TabPin6,1,LM2596S-5.0,Texas Instruments,LCSC,C347559,1.20
2,AMS1117-3.3,U2,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,AMS1117-3.3,AMS,LCSC,C6186,0.08
3,1N4007,D2,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4007,ON Semiconductor,LCSC,C727110,0.03
4,1N5822,D4,Diode_THT:D_DO-27_P12.70mm_Horizontal,1,1N5822,ON Semiconductor,LCSC,C8039,0.12
5,Inductor 100uH,L1,Inductor_THT:L_Axial_L10.0mm_D4.0mm_P15.24mm_Horizontal,1,AIUR-06-101K,Bourns,LCSC,C175085,0.35
6,Capacitor 100uF 25V,C1,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,1,UVR1E101MDD,Nichicon,LCSC,C82056,0.15
7,Capacitor 100nF,C2,Capacitor_SMD:C_0805_2012Metric,1,CL21B104KBCNNNC,SAMSUNG,LCSC,C1760,0.01
8,Capacitor 220uF 10V,C3,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,1,UVR1A221MDD,Nichicon,LCSC,C82037,0.12
9,Capacitor 100nF,C4,Capacitor_SMD:C_0805_2012Metric,1,CL21B104KBCNNNC,SAMSUNG,LCSC,C1760,0.01
10,Capacitor 10uF,C5,Capacitor_SMD:C_0805_2012Metric,1,CL21B106KBFNNNE,SAMSUNG,LCSC,C89632,0.06
11,Capacitor 10uF,C6,Capacitor_SMD:C_0805_2012Metric,1,CL21B106KBFNNNE,SAMSUNG,LCSC,C89632,0.06
12,Resistor 470R LED,R1 R2,Resistor_SMD:R_0805_2012Metric,2,0805W8F4700T5E,UNI-ROYAL,LCSC,C17710,0.01
13,LED Red,D1,LED_THT:LED_D3.0mm,1,204-10URC/S530-A3,Everlight,LCSC,C434467,0.03
14,LED Green,D3,LED_THT:LED_D3.0mm,1,204-10UGC/S530-A3,Everlight,LCSC,C434467,0.03
15,Pin Header 1x02 Input,J1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,PZ254V-11-02P,BOOMELE,LCSC,C49257,0.02
16,Pin Header 1x02 5V Out,J2,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,PZ254V-11-02P,BOOMELE,LCSC,C49257,0.02
17,Pin Header 1x02 3.3V Out,J3,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,PZ254V-11-02P,BOOMELE,LCSC,C49257,0.02
18,Test Point,TP1 TP2 TP3 TP4,TestPoint:TestPoint_Pad_D2.0mm,4,—,Generic,—,—,0.00
